bibcode,title,year,month,journal,volume,page,n_authors,n_colombian_authors,num_citations,keywords,doi,arxiv_id,url
1980RvCF...14..115G,The concepts of space and time in classical physics and special relativity,1980,1,Revista Colombiana de Fisica,14,115,1,1,0,Classical Mechanics; Relativity; Space-Time Functions; Astrophysics; Electromagnetism; Newton Theory; Nonrelativistic Mechanics; Astrophysics,,,https://ui.adsabs.harvard.edu/abs/1980RvCF...14..115G
1980PASP...92..484G,AH Vel - another classical cepheid with a blue companion.,1980,8,Publications of the Astronomical Society of the Pacific,92,484,1,1,7,Cepheid Variables; Companion Stars; Stellar Spectra; Stellar Spectrophotometry; Ubv Spectra; B Stars; Binary Stars; Hertzsprung-Russell Diagram; Main Sequence Stars; Radial Velocity; Astronomy,10.1086/130698,,https://ui.adsabs.harvard.edu/abs/1980PASP...92..484G
1982PASP...94..960G,Increased evidence for overtone pulsation in galactic cepheids : SU Cas.,1982,12,Publications of the Astronomical Society of the Pacific,94,960,1,1,28,Cepheid Variables; Stellar Oscillations; Hertzsprung-Russell Diagram; Light Curve; Radial Velocity; Radii; Stellar Luminosity; Stellar Temperature; Astrophysics,10.1086/131092,,https://ui.adsabs.harvard.edu/abs/1982PASP...94..960G
1984ApJ...282..650G,"Surface brightness radii, distances, and absolute magnitudes of classical cepheids.",1984,7,The Astrophysical Journal,282,650,1,1,23,Astrometry; Cepheid Variables; Stellar Oscillations; Astronomical Photometry; Brightness; Distance; Radial Velocity; Radii; Stellar Magnitude; Astronomy,10.1086/162244,,https://ui.adsabs.harvard.edu/abs/1984ApJ...282..650G
1984OrLi...14..547R,Phylogeny of Transfer RNA,1984,12,Origins of Life,14,547,3,1,0,,10.1007/BF00933703,,https://ui.adsabs.harvard.edu/abs/1984OrLi...14..547R
1985ApJS...57..595C,A photometric and radial velocity study of six southern cepheids. I. The data.,1985,3,The Astrophysical Journal Supplement Series,57,595,3,1,58,Astronomical Photometry; Cepheid Variables; Southern Sky; Light Curve; Radial Velocity; Stellar Color; Stellar Magnitude; Tables (Data); Astronomy,10.1086/191017,,https://ui.adsabs.harvard.edu/abs/1985ApJS...57..595C
1985A&A...148..138G,Physical properties of the cepheids RT Aurigae and SZ Tauri.,1985,7,Astronomy and Astrophysics,148,138,1,1,17,Cepheid Variables; Radial Velocity; Star Clusters; Stellar Magnitude; Stellar Spectrophotometry; Brightness; Charge Coupled Devices; Northern Hemisphere; Taurus Constellation; Astrophysics,,,https://ui.adsabs.harvard.edu/abs/1985A&A...148..138G
1985ApJ...295..507G,A search for more Cepheid binaries.,1985,8,The Astrophysical Journal,295,507,1,1,28,Binary Stars; Cepheid Variables; Companion Stars; Light Curve; Radial Velocity; Stellar Spectrophotometry; Data Acquisition; Stellar Color; Ubv Spectra; Astrophysics,10.1086/163395,,https://ui.adsabs.harvard.edu/abs/1985ApJ...295..507G
1987AJ.....94..431G,Frequency Analysis of the Short-Period Cepheid EU Tauri,1987,8,The Astronomical Journal,94,431,2,1,9,Cepheid Variables; Frequency Distribution; Radial Velocity; Spectrum Analysis; Stellar Spectrophotometry; Astrophysics; STARS: PULSATION,10.1086/114484,,https://ui.adsabs.harvard.edu/abs/1987AJ.....94..431G
1988PASP..100..262G,A Note on Several Galactic Cepheids in Open Clusters and Associations,1988,2,Publications of the Astronomical Society of the Pacific,100,262,1,1,5,Cepheid Variables; Milky Way Galaxy; Open Clusters; Star Clusters; Astronomical Catalogs; Brightness Distribution; Main Sequence Stars; Surface Properties; Astronomy; STARS: CEPHEIDS; CLUSTERS: OPEN; CLUSTERS: ASSOCIATIONS,10.1086/132164,,https://ui.adsabs.harvard.edu/abs/1988PASP..100..262G
1988ApJ...329..790G,The Galactic Cepheid Period-Luminosity Relation from the Visual Surface Brightness Method,1988,6,The Astrophysical Journal,329,790,1,1,27,B Stars; Cepheid Variables; Open Clusters; Stellar Luminosity; Stellar Magnitude; Stellar Oscillations; Brightness Distribution; Computational Astrophysics; Radial Velocity; Southern Hemisphere; Astrophysics; STARS: CEPHEIDS; STARS: LUMINOSITIES; STARS: PULSATION,10.1086/166421,,https://ui.adsabs.harvard.edu/abs/1988ApJ...329..790G
1988PASP..100.1008M,Measurements of IAU Radial Velocity Standards from ``Fiber Feed'' Spectra,1988,8,Publications of the Astronomical Society of the Pacific,100,1008,2,1,5,Astronomical Spectroscopy; Fiber Optics; Radial Velocity; Antenna Feeds; Cepheid Variables; Astronomy; INSTRUMENTS,10.1086/132264,,https://ui.adsabs.harvard.edu/abs/1988PASP..100.1008M
1989AJ.....98.1672G,The Short-Period Cepheid EU Tau. I. New Photometric and Radial Velocity Data,1989,11,The Astronomical Journal,98,1672,6,1,12,Astronomical Photometry; Cepheid Variables; Light Curve; Radial Velocity; Ubv Spectra; Charge Coupled Devices; Fourier Analysis; Space Observations (From Earth); Telescopes; Astrophysics; STARS: INDIVIDUAL; STARS: CEPHEIDS,10.1086/115253,,https://ui.adsabs.harvard.edu/abs/1989AJ.....98.1672G
1992A&A...253..126G,On the binary status of the cepheid SV Persei.,1992,1,Astronomy and Astrophysics,253,126,2,2,5,Binary Stars; Cepheid Variables; Companion Stars; Radial Velocity; Astronomical Photometry; Charge Coupled Devices; Iue; Velocity Measurement; Astrophysics,,,https://ui.adsabs.harvard.edu/abs/1992A&A...253..126G
1994Ap&SS.214..171U,The Problem of Stellar Membership in Open Clusters,1994,4,Astrophysics and Space Science,214,171,2,2,11,Astrometry; Cluster Analysis; Kinematics; Star Clusters; Astronomical Photometry; Displacement; Maximum Likelihood Estimates; Populations; Radial Velocity; Star Distribution; Astronomy; Open Cluster; Proper Motion; Kinematical Variable; Membership Probability; Essential Problem,10.1007/BF00982334,,https://ui.adsabs.harvard.edu/abs/1994Ap&SS.214..171U
1994Ap&SS.214....1H,Preface - Basic Space Science,1994,4,Astrophysics and Space Science,214,1,2,1,1,,10.1007/BF00982320,,https://ui.adsabs.harvard.edu/abs/1994Ap&SS.214....1H
1995MNRAS.274..853T,Genus and SPOT density in the COBE-DMR first-year anisotropy maps,1995,6,Monthly Notices of the Royal Astronomical Society,274,853,4,1,20,COSMIC MICROWAVE BACKGROUND; COSMOLOGY: OBSERVATIONS; Astrophysics,10.1093/mnras/274.3.853,arXiv:astro-ph/9502066,https://ui.adsabs.harvard.edu/abs/1995MNRAS.274..853T
1995Ap&SS.228..313T,Cosmology after COBE,1995,6,Astrophysics and Space Science,228,313,1,1,4,Radiation; Microwave; Anisotropy; Geometric Characteristic; Cosmic Microwave Background,10.1007/BF00984985,,https://ui.adsabs.harvard.edu/abs/1995Ap&SS.228..313T
1995Ap&SS.228..309T,The COBE-DMR Database and How to Use it,1995,6,Astrophysics and Space Science,228,309,1,1,1,Microwave; Anisotropy; Data Product; Science Data; Density Fluctuation,10.1007/BF00984984,,https://ui.adsabs.harvard.edu/abs/1995Ap&SS.228..309T
1996Ap&SS.240..225T,The GEM project: An international collaboration to survey galactic radiation emission,1996,9,Astrophysics and Space Science,240,225,12,4,12,Radiation; Colombia; International Collaboration; Radio Telescope; Radiation Emission; Astrophysics,10.1007/BF00639587,arXiv:astro-ph/9605060,https://ui.adsabs.harvard.edu/abs/1996Ap&SS.240..225T
1997Ap&SS.256..529R,Spectral Broadening of the 3463 å Line in a Zirconium Plasma Generated by Laser Irradiation,1997,3,Astrophysics and Space Science,256,529,1,1,2,Zirconium; Ultraviolet Radiation; Spectral Broadening; Laser Fluency; Effect Dependence,10.1023/A:1001100905519,,https://ui.adsabs.harvard.edu/abs/1997Ap&SS.256..529R
1997Ap&SS.256..517A,TiN Production in a Glow Discharge,1997,3,Astrophysics and Space Science,256,517,6,6,0,Nitrogen; Colour; Atmosphere; Titanium; Nitrogen Atmosphere,10.1023/A:1001152906427,,https://ui.adsabs.harvard.edu/abs/1997Ap&SS.256..517A
1997Ap&SS.256..359S,Spectral Study of Ionized Xenon Using a Capillary Pulsed Discharge,1997,3,Astrophysics and Space Science,256,359,4,1,0,Xenon; Spectral Study; Pulse Discharge; Spectroscopic Result; Ionize Xenon,10.1023/A:1001140519631,,https://ui.adsabs.harvard.edu/abs/1997Ap&SS.256..359S
1997Ap&SS.256..321D,Electromagnetic Oscillations in Cylindrical Plasmas with Electron Beams Interactions,1997,3,Astrophysics and Space Science,256,321,3,3,5,Magnetic Field; Fourier; Electron Beam; Dispersion Relation; Numerical Algorithm,10.1023/A:1001144403759,,https://ui.adsabs.harvard.edu/abs/1997Ap&SS.256..321D
1998ApJ...493...52C,Can Interplanetary Measures Bound the Cosmological Constant?,1998,1,The Astrophysical Journal,493,52,2,2,37,CELESTIAL MECHANICS; STELLAR DYNAMICS; COSMOLOGY: THEORY; PLANETS AND SATELLITES: INDIVIDUAL MERCURY; RELATIVITY; Celestial Mechanics; Stellar Dynamics; Cosmology: Theory; Planets and Satellites: Individual: Mercury; Relativity,10.1086/305125,,https://ui.adsabs.harvard.edu/abs/1998ApJ...493...52C
2000A&AS..145..495T,Spillover and diffraction sidelobe contamination in a double-shielded experiment for mapping Galactic synchrotron emission,2000,9,Astronomy and Astrophysics Supplement Series,145,495,9,1,4,METHODS: ANALYTICAL; METHODS: OBSERVATIONAL; METHODS: LABORATORY; SITE TESTING; RADIO CONTINUUM: ISM; Astrophysics,10.1051/aas:2000256,arXiv:astro-ph/0007066,https://ui.adsabs.harvard.edu/abs/2000A&AS..145..495T
2001RMxAA..37..105S,Membership in the Region of the Open Cluster NGC 2244,2001,10,Revista Mexicana de Astronomia y Astrofisica,37,105,5,5,13,,,,https://ui.adsabs.harvard.edu/abs/2001RMxAA..37..105S
2002PASP..114..233U,Membership in the Region of the Double Cluster h and χ Persei Working from Proper Motions and Positions: Distance Moduli and Extinction in That Galactic Direction,2002,2,Publications of the Astronomical Society of the Pacific,114,233,5,4,19,open clusters and associations: individual (χ Persei); open clusters and associations: individual (h Persei); ISM: Dust; Extinction; Methods: Data Analysis; Stars: Distances; Stars: Hertzsprung-Russell Diagram; Galaxy: Open Clusters and Associations: General,10.1086/338428,,https://ui.adsabs.harvard.edu/abs/2002PASP..114..233U
2002ApJ...579..214R,Near-Infrared Coronal Lines in Narrow-Line Seyfert 1 Galaxies,2002,11,The Astrophysical Journal,579,214,4,1,51,Galaxies: Active; Galaxies: Nuclei; Galaxies: Seyfert; Infrared: Galaxies; Radiation Mechanisms: Thermal; Astrophysics,10.1086/342840,arXiv:astro-ph/0208062,https://ui.adsabs.harvard.edu/abs/2002ApJ...579..214R
2003SoPh..215..185S,On the kinematic evolution of flare-associated cmes,2003,7,Solar Physics,215,185,4,2,55,Flare; Emergence Model; Time Data; Coronal Mass Ejection; Flux Rope,10.1023/A:1024808819850,,https://ui.adsabs.harvard.edu/abs/2003SoPh..215..185S
2003SoPh..215..161S,An Investigation of Solar Maximum Metric Type ii Radio Bursts: do two Kinds of Coronal Shock Sources Exist?,2003,7,Solar Physics,215,161,4,2,38,Flare; General Classis; Statistical Investigation; Radio Burst; Solar Maximum,10.1023/A:1024890925978,,https://ui.adsabs.harvard.edu/abs/2003SoPh..215..161S
2003SoPh..217..301S,Statistical Characteristics of CMEs and Flares Associated with Solar Type II Radio Bursts,2003,11,Solar Physics,217,301,4,2,25,Flare; Solar Cycle; Statistical Characteristic; Rise Time; Statistical Study,10.1023/B:SOLA.0000006902.89339.e4,,https://ui.adsabs.harvard.edu/abs/2003SoPh..217..301S
2004MNRAS.350..317G,Kinematic solar dynamo models with a deep meridional flow,2004,5,Monthly Notices of the Royal Astronomical Society,350,317,2,2,48,magnetic fields; MHD; Sun: interior; Sun: magnetic fields; Astrophysics,10.1111/j.1365-2966.2004.07655.x,arXiv:astro-ph/0402097,https://ui.adsabs.harvard.edu/abs/2004MNRAS.350..317G
2004CeMDA..89..365P,An Addendum to the Damour and Deruelle's Solution of the Post-Newtonian Two-Body Problem,2004,5,Celestial Mechanics and Dynamical Astronomy,89,365,2,2,2,Damour and Deruelle's solution; post-Newtonian motion; post-Newtonian two-body problem; relativistic celestial mechanics,10.1023/B:CELE.0000043574.68645.92,,https://ui.adsabs.harvard.edu/abs/2004CeMDA..89..365P
2004GReGr..36.1433B,Letter: Inflationary Dilatonic de Sitter Universe from Super Yang-Mills Theory Perturbed by Scalars and Spinors,2004,6,General Relativity and Gravitation,36,1433,2,1,2,General Relativity and Quantum Cosmology,10.1023/B:GERG.0000022579.16135.9b,arXiv:gr-qc/0311041,https://ui.adsabs.harvard.edu/abs/2004GReGr..36.1433B
2004SoPh..225..141S,Re-Evaluation of the Flare Type II CME Association,2004,11,Solar Physics,225,141,5,1,2,Flare; Coronal Mass Ejection; Radio Burst; Solar Maximum; Background Intensity,10.1007/s11207-004-3514-4,,https://ui.adsabs.harvard.edu/abs/2004SoPh..225..141S
2005PhDT.......140Z,Study of core collapse neutrino signals and constraints on neutrino masses from a future galactic supernova,2005,1,Ph.D. Thesis,,,1,1,0,,,,https://ui.adsabs.harvard.edu/abs/2005PhDT.......140Z
2005AdSpR..35..961V,The magnetosphere as a complex system,2005,1,Advances in Space Research,35,961,10,1,30,,10.1016/j.asr.2005.03.144,,https://ui.adsabs.harvard.edu/abs/2005AdSpR..35..961V
2005A&A...441...23B,Equilibrium of large astrophysical structures in the Newton-Hooke spacetime,2005,10,Astronomy and Astrophysics,441,23,2,2,18,cosmology: large-scale structure of Universe; galaxies: clusters: general; instabilities; Astrophysics,10.1051/0004-6361:20053544,arXiv:astro-ph/0511738,https://ui.adsabs.harvard.edu/abs/2005A&A...441...23B
2006SSRv..122..313V,Hysteresis Provides Self-Organization in a Plasma Model,2006,2,Space Science Reviews,122,313,4,1,16,self-organization; space plasmas; magnetospheric dynamics,10.1007/s11214-006-7846-2,,https://ui.adsabs.harvard.edu/abs/2006SSRv..122..313V
2006JCAP...06..013Z,Higher order contributions to the primordial non-Gaussianity,2006,6,Journal of Cosmology and Astroparticle Physics,2006,013,3,1,41,Astrophysics,10.1088/1475-7516/2006/06/013,arXiv:astro-ph/0603534,https://ui.adsabs.harvard.edu/abs/2006JCAP...06..013Z
2006MNRAS.371.1873G,An infinite family of generalized Kalnajs discs,2006,10,Monthly Notices of the Royal Astronomical Society,371,1873,2,2,24,stellar dynamics: galaxies: kinematics and dynamics; stellar dynamics; galaxies: kinematics and dynamics; Astrophysics,10.1111/j.1365-2966.2006.10819.x,arXiv:0806.4266,https://ui.adsabs.harvard.edu/abs/2006MNRAS.371.1873G
2006SerAJ.173...57U,The Expectation Maximization Algorithm as a Powerful Tool to Solve the Stellar Membership in Open Clusters. An Application to M67,2006,12,Serbian Astronomical Journal,173,57,3,1,7,Methods: analytical; Methods: data analysis; Methods: statistical; open clusters and associations: individual: M67,10.2298/SAJ0673057U,,https://ui.adsabs.harvard.edu/abs/2006SerAJ.173...57U
2007GReGr..39...23B,Self-similar and charged radiating spheres: an anisotropic approach,2007,1,General Relativity and Gravitation,39,23,4,1,44,Charged spheres; Anisotropy; Compact objects; General Relativity and Quantum Cosmology,10.1007/s10714-006-0365-3,arXiv:gr-qc/0611089,https://ui.adsabs.harvard.edu/abs/2007GReGr..39...23B
2007MNRAS.382..621B,Astrophysical configurations with background cosmology: probing dark energy at astrophysical scales,2007,12,Monthly Notices of the Royal Astronomical Society,382,621,3,1,22,cosmology: theory; dark matter; Astrophysics; General Relativity and Quantum Cosmology,10.1111/j.1365-2966.2007.12383.x,arXiv:0708.2980,https://ui.adsabs.harvard.edu/abs/2007MNRAS.382..621B
2008MNRAS.386..440R,Chaotic and regular motion around generalized Kalnajs discs,2008,5,Monthly Notices of the Royal Astronomical Society,386,440,3,3,16,stellar dynamics; galaxies: kinematics and dynamics; Astrophysics,10.1111/j.1365-2966.2008.13047.x,arXiv:0806.4272,https://ui.adsabs.harvard.edu/abs/2008MNRAS.386..440R
2008MNRAS.391L..24P,Fractional derivative approach to the self-gravitation equation,2008,11,Monthly Notices of the Royal Astronomical Society,391,L24,3,3,9,stellar dynamics; galaxies: kinematics and dynamics; Astrophysics,10.1111/j.1745-3933.2008.00548.x,arXiv:0807.0119,https://ui.adsabs.harvard.edu/abs/2008MNRAS.391L..24P
2008MNRAS.390.1587P,An infinite family of self-consistent models for axisymmetric flat galaxies,2008,11,Monthly Notices of the Royal Astronomical Society,390,1587,3,3,16,stellar dynamics; galaxies: kinematics and dynamics; Astrophysics,10.1111/j.1365-2966.2008.13846.x,arXiv:0806.4277,https://ui.adsabs.harvard.edu/abs/2008MNRAS.390.1587P
2009PASP..121..125M,L-Band Spectra of 13 Outbursting Be Stars,2009,2,Publications of the Astronomical Society of the Pacific,121,125,4,4,25,Astrophysics - Solar and Stellar Astrophysics,10.1086/597551,arXiv:0902.4279,https://ui.adsabs.harvard.edu/abs/2009PASP..121..125M
2009OLEB...39..306P,Prion: Catalyst for Biological Evolution,2009,5,Origins of Life and Evolution of the Biosphere,30,306,1,1,0,,10.1007/s11084-009-9164-7,,https://ui.adsabs.harvard.edu/abs/2009OLEB...39..306P
2009ApJ...700.1141G,The Araucaria Project: The Distance to the Sculptor Galaxy NGC 247 from Near-Infrared Photometry of Cepheid Variables,2009,8,The Astrophysical Journal,700,1141,10,1,36,Cepheids; distance scale; galaxies: distances and redshifts; galaxies: individual: NGC 247; Astrophysics - Cosmology and Extragalactic Astrophysics,10.1088/0004-637X/700/2/1141,arXiv:0905.2699,https://ui.adsabs.harvard.edu/abs/2009ApJ...700.1141G
2010MNRAS.404..468G,"Finite thin disc models of four galaxies in the UrsaMajor cluster: NGC3877, NGC3917, NGC3949 and NGC4010",2010,5,Monthly Notices of the Royal Astronomical Society,404,468,3,3,12,stellar dynamics; galaxies: kinematics and dynamics; Astrophysics - Astrophysics of Galaxies,10.1111/j.1365-2966.2010.16303.x,arXiv:0906.1355,https://ui.adsabs.harvard.edu/abs/2010MNRAS.404..468G
2010ApJ...714..989M,Spin Evolution of Accreting Young Stars. I. Effect of Magnetic Star-Disk Coupling,2010,5,The Astrophysical Journal,714,989,4,1,73,stars: individual: 97.10Cv 97.10.GZ 97.10.KC 97.21.+a; Astrophysics - Solar and Stellar Astrophysics,10.1088/0004-637X/714/2/989,arXiv:1005.0863,https://ui.adsabs.harvard.edu/abs/2010ApJ...714..989M
2010JApA...31..105N,Extracting information from the gravitational redshift of compact rotating objects,2010,6,Journal of Astrophysics and Astronomy,31,105,2,1,15,Maximal angular velocity; stars: neutron; stars: rotation,10.1007/s12036-010-0006-9,,https://ui.adsabs.harvard.edu/abs/2010JApA...31..105N
2010ApJS..189..309L,"A Library of Theoretical Ultraviolet Spectra of Massive, Hot Stars for Evolutionary Synthesis",2010,8,The Astrophysical Journal Supplement Series,189,309,8,1,292,galaxies: abundances; galaxies: high-redshift; galaxies: stellar content; hydrodynamics; line: profiles; stars: early-type; stars: mass-loss; ultraviolet: stars; Astrophysics - Solar and Stellar Astrophysics; Astrophysics - Cosmology and Nongalactic Astrophysics,10.1088/0067-0049/189/2/309,arXiv:1006.5624,https://ui.adsabs.harvard.edu/abs/2010ApJS..189..309L
2010MNRAS.408.1730H,"Asymptotic, non-linear solutions for ambipolar diffusion in one dimension",2010,11,Monthly Notices of the Royal Astronomical Society,408,1730,3,1,29,diffusion; MHD; plasmas; stars: magnetic field; stars: neutron; ISM: magnetic fields; Astrophysics - Solar and Stellar Astrophysics,10.1111/j.1365-2966.2010.17237.x,arXiv:1003.5262,https://ui.adsabs.harvard.edu/abs/2010MNRAS.408.1730H
2011GReGr..43.2713G,Geodesic deviation equation in f ( R) gravity,2011,10,General Relativity and Gravitation,43,2713,3,3,18,General Relativity and Quantum Cosmology; Astrophysics - Cosmology and Extragalactic Astrophysics,10.1007/s10714-011-1194-6,arXiv:1010.5279,https://ui.adsabs.harvard.edu/abs/2011GReGr..43.2713G
2011GReGr..43.3001G,General magnetized Weyl solutions: disks and motion of charged particles,2011,11,General Relativity and Gravitation,43,3001,2,2,8,General relativity; Exact solutions: thin disk; Einstein-Maxwell equations; General Relativity and Quantum Cosmology,10.1007/s10714-011-1219-1,arXiv:1009.1084,https://ui.adsabs.harvard.edu/abs/2011GReGr..43.3001G
2011OLEB...41..533L,Magnetic Fields in Earth-like Exoplanets and Implications for Habitability around M-dwarfs,2011,12,Origins of Life and Evolution of the Biosphere,41,533,3,1,17,Magnetic fields; Exoplanets; Habitability; Astrophysics - Earth and Planetary Astrophysics,10.1007/s11084-012-9263-8,arXiv:1107.2804,https://ui.adsabs.harvard.edu/abs/2011OLEB...41..533L
2011GReGr..43.3301G,Electromagnetic sources distributed on shells in a Schwarzschild background,2011,12,General Relativity and Gravitation,43,3301,3,1,6,Electrostatics in curved backgrounds; Monopole and dipole layers; General Relativity and Quantum Cosmology,10.1007/s10714-011-1234-2,arXiv:1105.1934,https://ui.adsabs.harvard.edu/abs/2011GReGr..43.3301G
2011ApJ...743..100R,The Near-infrared Coronal Line Spectrum of 54 nearby Active Galactic Nuclei,2011,12,The Astrophysical Journal,743,100,4,2,75,galaxies: active; galaxies: Seyfert; infrared: galaxies; Astrophysics - Cosmology and Nongalactic Astrophysics,10.1088/0004-637X/743/2/100,arXiv:1109.0984,https://ui.adsabs.harvard.edu/abs/2011ApJ...743..100R
2012PhDT.......483C,Magnetic fields and habitability in super earths,2012,1,Ph.D. Thesis,,,1,1,0,,,,https://ui.adsabs.harvard.edu/abs/2012PhDT.......483C
2012ApJ...745..101M,Spin Evolution of Accreting Young Stars. II. Effect of Accretion-powered Stellar Winds,2012,1,The Astrophysical Journal,745,101,4,1,78,accretion; accretion disks; stars: evolution; stars: magnetic field; stars: pre-main sequence; stars: rotation; stars: winds; outflows; Astrophysics - Solar and Stellar Astrophysics,10.1088/0004-637X/745/1/101,arXiv:1111.6407,https://ui.adsabs.harvard.edu/abs/2012ApJ...745..101M
2012A&A...537A..21P,Magnetic field emergence in mesogranular-sized exploding granules observed with sunrise/IMaX data,2012,1,Astronomy and Astrophysics,537,A21,14,1,28,Sun: surface magnetism; Sun: granulation; Sun: photosphere; techniques: polarimetric; Astrophysics - Solar and Stellar Astrophysics,10.1051/0004-6361/201117936,arXiv:1110.4555,https://ui.adsabs.harvard.edu/abs/2012A&A...537A..21P
2012ApJ...746L..13S,Magnetic Topology of a Naked Sunspot: Is It Really Naked?,2012,2,The Astrophysical Journal Letters,746,L13,3,1,13,Sun: magnetic topology; sunspots; Astrophysics - Solar and Stellar Astrophysics,10.1088/2041-8205/746/1/L13,arXiv:1202.0591,https://ui.adsabs.harvard.edu/abs/2012ApJ...746L..13S
2012MNRAS.421.3622P,Study of candidate Be stars in the Magellanic Clouds using near-infrared photometry and optical spectroscopy,2012,4,Monthly Notices of the Royal Astronomical Society,421,3622,5,1,16,techniques: spectroscopic; circumstellar matter; stars: emission-line; Be; Magellanic Clouds; Astrophysics - Solar and Stellar Astrophysics; Astrophysics - Cosmology and Nongalactic Astrophysics,10.1111/j.1365-2966.2012.20591.x,arXiv:1202.3216,https://ui.adsabs.harvard.edu/abs/2012MNRAS.421.3622P
2012SoPh..278...99V,Granular-Scale Elementary Flux Emergence Episodes in a Solar Active Region,2012,5,Solar Physics,278,99,3,1,33,Active regions; Emerging flux; Sunspots; Astrophysics - Solar and Stellar Astrophysics,10.1007/s11207-012-9968-x,arXiv:1203.6428,https://ui.adsabs.harvard.edu/abs/2012SoPh..278...99V
2012SoPh..278...73V,Nonlinear Force-Free Extrapolation of Emerging Flux with a Global Twist and Serpentine Fine Structures,2012,5,Solar Physics,278,73,8,1,63,Active regions; magnetic fields; Magnetic field; photosphere; corona,10.1007/s11207-011-9865-8,,https://ui.adsabs.harvard.edu/abs/2012SoPh..278...73V
2012MNRAS.424.1941C,Dwarf spheroidal satellites of the Milky Way from dark matter free tidal dwarf galaxy progenitors: maps of orbits,2012,8,Monthly Notices of the Royal Astronomical Society,424,1941,4,3,45,Galaxy: general; galaxies: dwarf; galaxies: formation; dark matter; Astrophysics - Astrophysics of Galaxies,10.1111/j.1365-2966.2012.21319.x,arXiv:1205.5029,https://ui.adsabs.harvard.edu/abs/2012MNRAS.424.1941C
2012P&SS...70...59F,The 2009 Apparition of methuselah comet 107P/Wilson-Harrington: A case of comet rejuvenation?,2012,9,Planetary and Space Science,70,59,8,1,6,Astrophysics - Earth and Planetary Astrophysics,10.1016/j.pss.2012.05.022,arXiv:1205.6874,https://ui.adsabs.harvard.edu/abs/2012P&SS...70...59F
2012ApJ...756...82P,On the Relativistic Precession and Oscillation Frequencies of Test Particles around Rapidly Rotating Compact Stars,2012,9,The Astrophysical Journal,756,82,3,2,16,black hole physics; celestial mechanics; stars: neutron; stars: oscillations; X-rays: binaries; Astrophysics - Solar and Stellar Astrophysics; General Relativity and Quantum Cosmology,10.1088/0004-637X/756/1/82,arXiv:1112.1712,https://ui.adsabs.harvard.edu/abs/2012ApJ...756...82P
2012AcA....62..247U,Photometric Maps Based on the OGLE-III Shallow Survey in the Large Magellanic Cloud,2012,9,Acta Astronomica,62,247,11,1,25,Magellanic Clouds; Surveys; Catalogs; Techniques: photometric; Astrophysics - Solar and Stellar Astrophysics; Astrophysics - Galaxy Astrophysics,10.48550/arXiv.1210.4702,arXiv:1210.4702,https://ui.adsabs.harvard.edu/abs/2012AcA....62..247U
2012SoPh..280..335A,Magneto-Acoustic Energetics Study of the Seismically Active Flare of 15 February 2011,2012,10,Solar Physics,280,335,6,3,35,Magnetic field variation; Flares; Sunquakes; Astrophysics - Solar and Stellar Astrophysics,10.1007/s11207-012-0009-6,arXiv:1203.3907,https://ui.adsabs.harvard.edu/abs/2012SoPh..280..335A
2012MNRAS.427.2613C,Millennium simulation dark matter haloes: multifractal and lacunarity analysis and the transition to homogeneity,2012,12,Monthly Notices of the Royal Astronomical Society,427,2613,2,2,13,methods: statistical; dark matter; large-scale structure of Universe; Astrophysics - Cosmology and Nongalactic Astrophysics; General Relativity and Quantum Cosmology,10.1111/j.1365-2966.2012.22095.x,arXiv:1209.2637,https://ui.adsabs.harvard.edu/abs/2012MNRAS.427.2613C
2013MNRAS.428.2489L,The velocity shear tensor: tracer of halo alignment,2013,1,Monthly Notices of the Royal Astronomical Society,428,2489,7,1,145,galaxies: haloes; cosmology: theory; dark matter; large scale structure of Universe; Astrophysics - Cosmology and Nongalactic Astrophysics; Astrophysics - Astrophysics of Galaxies,10.1093/mnras/sts216,arXiv:1210.4559,https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.2489L
2013AAABS...4..150Q,Survival of galaxy disks in a ΛCDM cosmology,2013,1,Asociacion Argentina de Astronomia La Plata Argentina Book Series,4,150,6,3,0,,,,https://ui.adsabs.harvard.edu/abs/2013AAABS...4..150Q
2013NewA...20....7M,Is the Sgr dSph a dark matter dominated system?,2013,4,New Astronomy,20,7,2,2,0,Astrophysics - Astrophysics of Galaxies,10.1016/j.newast.2012.09.001,arXiv:1209.1116,https://ui.adsabs.harvard.edu/abs/2013NewA...20....7M
2013ApJ...767L...5F,The Kinematics of the Local Group in a Cosmological Context,2013,4,The Astrophysical Journal Letters,767,L5,5,2,21,galaxies: kinematics and dynamics; Local Group; methods: numerical; Astrophysics - Cosmology and Nongalactic Astrophysics,10.1088/2041-8205/767/1/L5,arXiv:1303.2690,https://ui.adsabs.harvard.edu/abs/2013ApJ...767L...5F
2013MNRAS.431.2278G,A study on the universality and linearity of the Leavitt law in the LMC and SMC galaxies,2013,5,Monthly Notices of the Royal Astronomical Society,431,2278,3,3,18,methods: statistical; stars: variables: Cepheids; Magellanic Clouds; Astrophysics - Solar and Stellar Astrophysics; Astrophysics - Astrophysics of Galaxies,10.1093/mnras/stt325,arXiv:1303.0809,https://ui.adsabs.harvard.edu/abs/2013MNRAS.431.2278G
